",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
Short Cuts,"Drame/Comédie dramatique ‧ 3h 10m  ""Short Cuts"" 7,7/10",1993,_America,Robert Altman,yes,https://drive.google.com/open?id=1qal0SqE_vgiVJV9JRqlc0Fpk7F_KGBb_zg,
Peppermint Candy  ,,1999,_Korea,Lee Chang dong,yes,https://drive.google.com/open?id=1xcswzuQ8DaFq-Ei_sIOofxWkANRkEVGlzQ,
Chronicle of the Years of Fire,,1975,Algeria,Mohammed Lakhdar-Hamina,no,https://drive.google.com/open?id=1_zcadQmwv6b1xpFyGEQGSbsOhKXKTmzAcg,https://drive.google.com/open?id=1NdbBesi7qmV0wHDCvW5JQo2V6zsvLSCWyw
Fury,,1936,America,Fritz Lang,yes,https://drive.google.com/open?id=1QS3H8V-ut_TS5UZXAxAslNA60jjb1ME9aA,
Union Pacific,,1939,America,Cecil B. DeMille,no,https://drive.google.com/open?id=1tq9pT2fVMq4uwo68h9y3SeV2KRIIUwOC7g,
The Shop Around,,1940,America,Ernst Lubitsch,yes,https://drive.google.com/open?id=1yGTeHxQnVrUNLOGOHpVbh14vC4fwT8zRtA,
The Maltese Falcon,,1941,America,John Huston,yes,https://drive.google.com/open?id=1DMCtCqOvi8EPXun7fx_qy25WmL3hq6VGTg,
The Magnificent Ambersons,,1942,America,Orson Welles,yes,https://drive.google.com/open?id=1f7MiFqrHCtv9dxluf8FF9vKlovzkTfANVw,
To Be or Not to Be,,1942,America,Ernst Lubitsch,yes,https://drive.google.com/open?id=12MQMdLu9q_64oxiUTtGhd-8QK0myihqvyA,
Double Indemnity,,1944,America,Billy Wilder,yes,https://drive.google.com/open?id=1IvkgJJREVUgvCliUjKHBDhHzA9In18dXqQ,
The Lost Weekend,,1945,America,Billy Wilder,yes,https://drive.google.com/open?id=1wd25PgTZFWCcBT6C2QRULyq5lM0l4Pl_4g,
